Class,Category,ID,Term,Genes,adj_pval
BC7,CC,GO:0099146,intrinsic component of postsynaptic density membrane,"Gria2, Dcc, Erbb4, Clstn2, Lrrc4c, Grin2b, Grid2, Plppr4",7.86E-12
BC7,CC,GO:0098685,Schaffer collateral - CA1 synapse,"Adcy8, Nrxn1, Gria2, Dcc, Ptprd, Lrrc4c, Ntng1, Anks1b, Rock2",8.82E-11
BC7,CC,GO:0098839,postsynaptic density membrane,"Gria2, Dcc, Erbb4, Clstn2, Lrrc4c, Grin2b, Grid2, Plppr4",1.70E-10
BC7,CC,GO:1902495,transmembrane transporter complex,"Gabrb1, Grik1, Gria2, Glra1, Gabra1, Ryr2, Gabrb2, Grin2b, Gria4, Stxbp5, Grid2, Kcnip3, Hcn4, Cacna2d1",1.70E-10
BC7,CC,GO:1990351,transporter complex,"Gabrb1, Grik1, Gria2, Glra1, Gabra1, Ryr2, Gabrb2, Grin2b, Gria4, Stxbp5, Grid2, Kcnip3, Hcn4, Cacna2d1",2.60E-10
BC7,CC,GO:0043679,axon terminus,"Cdh8, Grik1, Gria2, Grm7, Scgn, Prkcb, Grin2b, Gria4, Kcnip3, Hcn4",6.24E-09
BC7,CC,GO:0044306,neuron projection terminus,"Cdh8, Grik1, Gria2, Grm7, Scgn, Prkcb, Grin2b, Gria4, Kcnip3, Hcn4",1.76E-08
BC7,CC,GO:0098889,intrinsic component of presynaptic membrane,"Adcy8, Nrxn1, Erbb4, Ptprd, Ntng1, Cntn1",1.37E-07
BC7,CC,GO:0043195,terminal bouton,"Grik1, Gria2, Grm7, Scgn, Grin2b, Gria4, Hcn4",1.56E-07
BC7,CC,GO:0060077,inhibitory synapse,"Nrxn1, Glra1, Erbb4, Rims1, Iqsec3",1.93E-07
BC7,CC,GO:0048786,presynaptic active zone,"Adcy8, Nrxn1, Grm7, Rims1, App, Ntng1",1.11E-06
BC7,CC,GO:0043197,dendritic spine,"Gria2, Nlgn1, Tenm2, Zfp804a, Grin2b, Tanc2, Gria4, Grid2",2.24E-06
BC7,CC,GO:0008328,ionotropic glutamate receptor complex,"Grik1, Gria2, Grin2b, Gria4, Grid2",2.26E-06
BC7,CC,GO:0044309,neuron spine,"Gria2, Nlgn1, Tenm2, Zfp804a, Grin2b, Tanc2, Gria4, Grid2",2.56E-06
BC7,CC,GO:0005912,adherens junction,"Cdh8, Cdh18, Epha5, Esam, Ccdc85a, Cdh10, Efna5",2.60E-06
BC7,CC,GO:0098878,neurotransmitter receptor complex,"Grik1, Gria2, Grin2b, Gria4, Grid2",2.61E-06
BC7,CC,GO:0034703,cation channel complex,"Grik1, Gria2, Ryr2, Grin2b, Gria4, Kcnip3, Hcn4, Cacna2d1",3.76E-06
BC7,CC,GO:0030426,growth cone,"Pcdh9, Nrxn1, Gria2, Dcc, App, Zfp804a, Dscam",2.82E-05
BC7,CC,GO:0030427,site of polarized growth,"Pcdh9, Nrxn1, Gria2, Dcc, App, Zfp804a, Dscam",3.44E-05
BC7,CC,GO:0099056,integral component of presynaptic membrane,"Adcy8, Nrxn1, Erbb4, Ptprd",7.28E-05
BC7,CC,GO:0034707,chloride channel complex,"Gabrb1, Glra1, Gabra1, Gabrb2",8.50E-05
BC7,CC,GO:0098802,plasma membrane signaling receptor complex,"Grik1, Gria2, Grin2b, Gria4, Stxbp5, Grid2",0.000143674
BC7,CC,GO:1902711,GABA-A receptor complex,"Gabrb1, Gabra1, Gabrb2",0.000158594
BC7,CC,GO:1902710,GABA receptor complex,"Gabrb1, Gabra1, Gabrb2",0.000211805
BC7,CC,GO:0043198,dendritic shaft,"Gria2, Nlgn1, Grm7, Zfp804a",0.000365954
BC7,CC,GO:0048787,presynaptic active zone membrane,"Nrxn1, Grm7, Ntng1",0.000439516
BC7,CC,GO:0098686,hippocampal mossy fiber to CA3 synapse,"Adcy8, Ptprd, Stxbp5",0.000535006
BC7,CC,GO:0016342,catenin complex,"Cdh8, Cdh18, Cdh10",0.000628747
BC7,CC,GO:0031045,dense core granule,"Scg2, Cadps, Stxbp5",0.000628747
BC7,CC,GO:0034705,potassium channel complex,"Grik1, Gria4, Kcnip3, Hcn4",0.000937739
BC7,CC,GO:0098690,glycinergic synapse,"Glra1, Iqsec3",0.001864285
BC7,CC,GO:0098992,neuronal dense core vesicle,"Scg2, Stxbp5",0.001864285
BC7,CC,GO:0099144,anchored component of synaptic membrane,"Ntng1, Cntn1",0.001864285
BC7,CC,GO:0005604,basement membrane,"Tmeff2, Ntng1, Efna5, Frem1",0.002619043
BC7,CC,GO:0098945,intrinsic component of presynaptic active zone membrane,"Nrxn1, Ntng1",0.002625106
BC7,CC,GO:0030018,Z disc,"Sphkap, Ryr2, Grin2b, Dst",0.00351484
BC7,CC,GO:0098858,actin-based cell projection,"Nlgn1, App, Fmn2, Angpt1, Car2",0.003544842
BC7,CC,GO:0060076,excitatory synapse,"Adcy8, Nlgn1, Grid2",0.00455841
BC7,CC,GO:0031674,I band,"Sphkap, Ryr2, Grin2b, Dst",0.004749553
BC7,CC,GO:0043083,synaptic cleft,"Cdh8, Grin2b",0.005513794
BC7,CC,GO:0046658,anchored component of plasma membrane,"Ntng1, Cntn1, Efna5",0.006090258
BC7,CC,GO:0045121,membrane raft,"Adcy8, Dcc, Erbb4, App, Angpt1, Cntn1",0.006691544
BC7,CC,GO:0062023,collagen-containing extracellular matrix,"Slit2, Tmeff2, Ntng1, Angpt1, Efna5, Frem1",0.006691544
BC7,CC,GO:0098857,membrane microdomain,"Adcy8, Dcc, Erbb4, App, Angpt1, Cntn1",0.006691544
BC7,CC,GO:0005635,nuclear envelope,"Epha3, Gabrb1, Nrxn1, Ryr2, App, Dst",0.009484466
BC7,CC,GO:0019897,extrinsic component of plasma membrane,"Cdh8, Cdh18, Ryr2, Cdh10",0.009610037
BC7,CC,GO:0031225,anchored component of membrane,"Mdga2, Ntng1, Cntn1, Efna5",0.009852566
BC7,CC,GO:0005791,rough endoplasmic reticulum,"Epha5, Grm7, App",0.010000749
BC7,CC,GO:0034706,sodium channel complex,"Grik1, Gria4",0.010808393
BC7,CC,GO:0019898,extrinsic component of membrane,"Cdh8, Cdh18, Ryr2, Cdh10, Stxbp5",0.011265892
BC7,CC,GO:0032281,AMPA glutamate receptor complex,"Gria2, Gria4",0.012101833
BC7,CC,GO:0030017,sarcomere,"Sphkap, Ryr2, Grin2b, Dst",0.012400262
BC7,CC,GO:0005902,microvillus,"Fmn2, Angpt1, Car2",0.014039482
BC7,CC,GO:0030016,myofibril,"Sphkap, Ryr2, Grin2b, Dst",0.018333223
BC7,CC,GO:0031672,A band,"Ryr2, Dst",0.019466433
BC7,CC,GO:0043292,contractile fiber,"Sphkap, Ryr2, Grin2b, Dst",0.021729397
BC7,CC,GO:0016323,basolateral plasma membrane,"Adcy8, Erbb4, Hcn4, Car2",0.024393332
BC7,CC,GO:0009925,basal plasma membrane,"Adcy8, Erbb4, Hcn4, Car2",0.035605249
BC7,CC,GO:0042383,sarcolemma,"Ryr2, Cacna2d1, Dst",0.04632808
BC7,CC,GO:0045178,basal part of cell,"Adcy8, Erbb4, Hcn4, Car2",0.04632808
BC7,CC,GO:0034704,calcium channel complex,"Ryr2, Cacna2d1",0.047477655
BC7,CC,GO:0005938,cell cortex,"Grm7, Rims1, Prkcb, Fmn2",0.047725951
BC7,MF,GO:0015276,ligand-gated ion channel activity,"Gabrb1, Grik1, Gria2, Glra1, Gabra1, Ryr2, Kcnh7, Gabrb2, Grin2b, Gria4, Grid2, Hcn4",4.66E-12
BC7,MF,GO:0022834,ligand-gated channel activity,"Gabrb1, Grik1, Gria2, Glra1, Gabra1, Ryr2, Kcnh7, Gabrb2, Grin2b, Gria4, Grid2, Hcn4",4.66E-12
BC7,MF,GO:0050839,cell adhesion molecule binding,"Cdh8, Nrxn1, Cdh18, Nlgn1, Tenm2, Tenm3, Ptprd, Esam, App, Lrrc4c, Grin2b, Ntng1, Cdh10, Dscam, Dst",4.66E-12
BC7,MF,GO:0005216,ion channel activity,"Gabrb1, Grik1, Gria2, Glra1, Gabra1, Grm7, Ryr2, Kcnh7, Gabrb2, Slc24a3, Grin2b, Gria4, Grid2, Kcnip3, Hcn4, Trpm3, Cacna2d1",4.66E-12
BC7,MF,GO:1904315,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,"Gabrb1, Grik1, Gria2, Glra1, Gabra1, Gabrb2, Grin2b, Gria4, Grid2",5.95E-12
BC7,MF,GO:0099529,neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential,"Gabrb1, Grik1, Gria2, Glra1, Gabra1, Gabrb2, Grin2b, Gria4, Grid2",7.97E-12
BC7,MF,GO:0022836,gated channel activity,"Gabrb1, Grik1, Gria2, Glra1, Gabra1, Grm7, Ryr2, Kcnh7, Gabrb2, Grin2b, Gria4, Grid2, Kcnip3, Hcn4, Cacna2d1",7.97E-12
BC7,MF,GO:0022824,transmitter-gated ion channel activity,"Gabrb1, Grik1, Gria2, Glra1, Gabra1, Gabrb2, Grin2b, Gria4, Grid2",7.97E-12
BC7,MF,GO:0022835,transmitter-gated channel activity,"Gabrb1, Grik1, Gria2, Glra1, Gabra1, Gabrb2, Grin2b, Gria4, Grid2",7.97E-12
BC7,MF,GO:0015267,channel activity,"Gabrb1, Grik1, Gria2, Glra1, Gabra1, Grm7, Ryr2, Kcnh7, Gabrb2, Slc24a3, Grin2b, Gria4, Grid2, Kcnip3, Hcn4, Trpm3, Cacna2d1",8.42E-12
BC7,MF,GO:0022803,passive transmembrane transporter activity,"Gabrb1, Grik1, Gria2, Glra1, Gabra1, Grm7, Ryr2, Kcnh7, Gabrb2, Slc24a3, Grin2b, Gria4, Grid2, Kcnip3, Hcn4, Trpm3, Cacna2d1",8.42E-12
BC7,MF,GO:0005230,extracellular ligand-gated ion channel activity,"Gabrb1, Grik1, Gria2, Glra1, Gabra1, Gabrb2, Grin2b, Gria4, Grid2",3.36E-11
BC7,MF,GO:0098960,postsynaptic neurotransmitter receptor activity,"Gabrb1, Grik1, Gria2, Glra1, Gabra1, Gabrb2, Grin2b, Gria4, Grid2",3.36E-11
BC7,MF,GO:0030594,neurotransmitter receptor activity,"Gabrb1, Grik1, Gria2, Glra1, Gabra1, Gabrb2, Grin2b, Gria4, Grid2",2.29E-09
BC7,MF,GO:0008066,glutamate receptor activity,"Grik1, Gria2, Grm7, Grin2b, Gria4, Grid2",4.46E-09
BC7,MF,GO:0005261,cation channel activity,"Grik1, Gria2, Grm7, Ryr2, Kcnh7, Slc24a3, Grin2b, Gria4, Kcnip3, Hcn4, Trpm3, Cacna2d1",1.54E-08
BC7,MF,GO:0004970,ionotropic glutamate receptor activity,"Grik1, Gria2, Grin2b, Gria4, Grid2",4.72E-08
BC7,MF,GO:0099094,ligand-gated cation channel activity,"Grik1, Gria2, Ryr2, Kcnh7, Grin2b, Gria4, Hcn4",8.14E-07
BC7,MF,GO:0046873,metal ion transmembrane transporter activity,"Grik1, Gria2, Grm7, Ryr2, Kcnh7, Slc24a3, Grin2b, Slc6a11, Kcnip3, Hcn4, Cacna2d1",2.24E-06
BC7,MF,GO:0099095,ligand-gated anion channel activity,"Gabrb1, Glra1, Gabra1, Gabrb2",8.67E-06
BC7,MF,GO:0098632,cell-cell adhesion mediator activity,"Esam, Lrrc4c, Ntng1, Dscam",4.82E-05
BC7,MF,GO:0005231,excitatory extracellular ligand-gated ion channel activity,"Grik1, Gria2, Glra1, Grin2b",7.47E-05
BC7,MF,GO:0022851,GABA-gated chloride ion channel activity,"Gabrb1, Gabra1, Gabrb2",0.000113521
BC7,MF,GO:0098631,cell adhesion mediator activity,"Esam, Lrrc4c, Ntng1, Dscam",0.000128058
BC7,MF,GO:0016595,glutamate binding,"Grik1, Grm7, Grin2b",0.000132601
BC7,MF,GO:0015079,potassium ion transmembrane transporter activity,"Grik1, Gria2, Kcnh7, Slc24a3, Kcnip3, Hcn4",0.000143237
BC7,MF,GO:0005237,inhibitory extracellular ligand-gated ion channel activity,"Glra1, Gabra1, Gabrb2",0.000227703
BC7,MF,GO:0004890,GABA-A receptor activity,"Gabrb1, Gabra1, Gabrb2",0.000311375
BC7,MF,GO:0005262,calcium channel activity,"Grm7, Ryr2, Slc24a3, Grin2b, Cacna2d1",0.000397627
BC7,MF,GO:0005244,voltage-gated ion channel activity,"Grm7, Kcnh7, Grin2b, Kcnip3, Hcn4, Cacna2d1",0.000397627
BC7,MF,GO:0022832,voltage-gated channel activity,"Grm7, Kcnh7, Grin2b, Kcnip3, Hcn4, Cacna2d1",0.000397627
BC7,MF,GO:0005267,potassium channel activity,"Grik1, Gria2, Kcnh7, Kcnip3, Hcn4",0.000416837
BC7,MF,GO:0016917,GABA receptor activity,"Gabrb1, Gabra1, Gabrb2",0.000416837
BC7,MF,GO:0016597,amino acid binding,"Grik1, Glra1, Grm7, Grin2b",0.000485092
BC7,MF,GO:0008509,anion transmembrane transporter activity,"Gabrb1, Grik1, Glra1, Gabra1, Gabrb2, Slc24a3, Slc6a11",0.000639528
BC7,MF,GO:0015085,calcium ion transmembrane transporter activity,"Grm7, Ryr2, Slc24a3, Grin2b, Cacna2d1",0.000639528
BC7,MF,GO:0022843,voltage-gated cation channel activity,"Grm7, Kcnh7, Grin2b, Hcn4, Cacna2d1",0.000791041
BC7,MF,GO:0045499,chemorepellent activity,"Slit2, Nrg3, Efna5",0.000828496
BC7,MF,GO:0015081,sodium ion transmembrane transporter activity,"Grik1, Gria2, Slc24a3, Slc6a11, Hcn4",0.000828496
BC7,MF,GO:0043177,organic acid binding,"Grik1, Glra1, Grm7, Ryr2, Grin2b",0.000947875
BC7,MF,GO:0070851,growth factor receptor binding,"Nrxn1, Erbb4, App, Grin2b, Angpt1",0.001029614
BC7,MF,GO:0046875,ephrin receptor binding,"App, Anks1b, Efna5",0.001029614
BC7,MF,GO:0005254,chloride channel activity,"Gabrb1, Glra1, Gabra1, Gabrb2",0.001056873
BC7,MF,GO:0097110,scaffold protein binding,"Nlgn1, Ryr2, Grin2b, Grid2",0.001081737
BC7,MF,GO:0005253,anion channel activity,"Gabrb1, Glra1, Gabra1, Gabrb2",0.001629626
BC7,MF,GO:0005246,calcium channel regulator activity,"Nrxn1, Grm7, Prkcb",0.001976913
BC7,MF,GO:0005272,sodium channel activity,"Grik1, Gria2, Hcn4",0.002386498
BC7,MF,GO:0005516,calmodulin binding,"Adcy8, Grm7, Ryr2, Camk4, Mylk",0.002546079
BC7,MF,GO:0030165,PDZ domain binding,"Gria2, Nlgn1, Grm7, Grid2",0.003543143
BC7,MF,GO:0005005,transmembrane-ephrin receptor activity,"Epha3, Epha5",0.004971413
BC7,MF,GO:0016594,glycine binding,"Glra1, Grin2b",0.004971413
BC7,MF,GO:0004714,transmembrane receptor protein tyrosine kinase activity,"Epha3, Epha5, Erbb4",0.005106424
BC7,MF,GO:0099106,ion channel regulator activity,"Nrxn1, Grm7, Prkcb, Kcnip3",0.005560015
BC7,MF,GO:0005003,ephrin receptor activity,"Epha3, Epha5",0.006164617
BC7,MF,GO:0016247,channel regulator activity,"Nrxn1, Grm7, Prkcb, Kcnip3",0.006615445
BC7,MF,GO:0004653,polypeptide N-acetylgalactosaminyltransferase activity,"Galnt14, Galntl6",0.00671521
BC7,MF,GO:0015103,inorganic anion transmembrane transporter activity,"Gabrb1, Glra1, Gabra1, Gabrb2",0.00671521
BC7,MF,GO:0045296,cadherin binding,"Cdh8, Cdh18, Cdh10",0.007202887
BC7,MF,GO:0019199,transmembrane receptor protein kinase activity,"Epha3, Epha5, Erbb4",0.009604301
BC7,MF,GO:0033130,acetylcholine receptor binding,"Nrxn1, App",0.009604301
BC7,MF,GO:0042165,neurotransmitter binding,"Grin2b, Slc6a11",0.010368988
BC7,MF,GO:0009931,calcium-dependent protein serine/threonine kinase activity,"Prkcb, Camk4",0.010972131
BC7,MF,GO:0043395,heparan sulfate proteoglycan binding,"Slit2, App",0.010972131
BC7,MF,GO:0010857,calcium-dependent protein kinase activity,"Prkcb, Camk4",0.011757016
BC7,MF,GO:0099604,ligand-gated calcium channel activity,"Ryr2, Grin2b",0.012555475
BC7,MF,GO:0031406,carboxylic acid binding,"Grik1, Glra1, Grm7, Grin2b",0.01366621
BC7,MF,GO:0005217,intracellular ligand-gated ion channel activity,"Ryr2, Hcn4",0.015247269
BC7,MF,GO:0048306,calcium-dependent protein binding,"Nrxn1, Grm7, Kcnip3",0.015247269
BC7,MF,GO:0098918,structural constituent of synapse,"Rims1, Dlgap1",0.016965052
BC7,MF,GO:0008376,acetylgalactosaminyltransferase activity,"Galnt14, Galntl6",0.018985247
BC7,MF,GO:0008022,protein C-terminus binding,"Adcy8, Fign, Kcnip3, Dst",0.028097629
BC7,MF,GO:0042056,chemoattractant activity,"Scg2, App",0.029926429
BC7,MF,GO:0004713,protein tyrosine kinase activity,"Epha3, Epha5, Erbb4",0.033061162
BC7,MF,GO:0005245,voltage-gated calcium channel activity,"Grm7, Cacna2d1",0.037891248
BC7,MF,GO:0019838,growth factor binding,"Epha3, Epha5, Erbb4",0.048538399
BC7,MF,GO:1901681,sulfur compound binding,"Slit2, Glra1, Ryr2, App",0.048538399
BC7,MF,GO:0043394,proteoglycan binding,"Slit2, App",0.048538399
BC7,MF,GO:0051018,protein kinase A binding,"Sphkap, Ryr2",0.048538399
BC8,BP,GO:0050808,synapse organization,"Kirrel3, Lrrc4c, Nlgn1, Epha3, Cacna2d2, Nfia, Frmpd4, App, Lrfn5, Iqsec3, Adgrl3, Ptpro, Clstn1, Lrp8, Sorbs2",1.13E-07
BC8,BP,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,"Dscam, Kirrel3, Lrrc4c, Nlgn1, Epha3, Pcdh15, Cdh11, Lrfn5, Tenm3, Adgrl3, Clstn1",1.13E-07
BC8,BP,GO:0007409,axonogenesis,"Dscam, Nfib, Lrrc4c, Epha3, Lhx4, Cdh11, Zeb2, App, Epha10, Stmn1, Cntn4, Stxbp5, Ptpro, Dcc",4.56E-07
BC8,BP,GO:0042391,regulation of membrane potential,"Grik1, Cacna2d1, Nlgn1, Cacna1h, Kcnd3, Ryr2, App, Ctnna3, Cacna1g, Pid1, Hcn3, Bok",1.98E-05
BC8,BP,GO:0086003,cardiac muscle cell contraction,"Cacna2d1, Cacna1h, Kcnd3, Ryr2, Ctnna3, Cacna1g",3.89E-05
BC8,BP,GO:0007411,axon guidance,"Dscam, Nfib, Epha3, Lhx4, App, Epha10, Cntn4, Ptpro, Dcc",4.58E-05
BC8,BP,GO:0097485,neuron projection guidance,"Dscam, Nfib, Epha3, Lhx4, App, Epha10, Cntn4, Ptpro, Dcc",4.58E-05
BC8,BP,GO:0034329,cell junction assembly,"Kirrel3, Nlgn1, Epha3, Dlc1, Cdh11, App, Lrfn5, Adgrl3, Ptpro, Jam3, Clstn1",4.63E-05
BC8,BP,GO:0086065,cell communication involved in cardiac conduction,"Cacna2d1, Kcnd3, Ryr2, Ctnna3, Cacna1g",4.63E-05
BC8,BP,GO:0086002,cardiac muscle cell action potential involved in contraction,"Cacna2d1, Kcnd3, Ryr2, Ctnna3, Cacna1g",5.33E-05
BC8,BP,GO:0035637,multicellular organismal signaling,"Cacna2d1, Cacna1h, Kcnd3, Ryr2, Ctnna3, Cacna1g, Jam3",0.00012397
BC8,BP,GO:0070252,actin-mediated cell contraction,"Cacna2d1, Cacna1h, Kcnd3, Ryr2, Ctnna3, Cacna1g",0.00012397
BC8,BP,GO:0086001,cardiac muscle cell action potential,"Cacna2d1, Kcnd3, Ryr2, Ctnna3, Cacna1g",0.000157175
BC8,BP,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,"Dscam, Kirrel3, Pcdh15, Cdh11, Tenm3, Clstn1",0.000247211
BC8,BP,GO:0050807,regulation of synapse organization,"Nlgn1, Frmpd4, App, Lrfn5, Adgrl3, Ptpro, Clstn1, Lrp8",0.000290799
BC8,BP,GO:1903522,regulation of blood circulation,"Cacna2d1, Cacna2d2, Cacna1h, Kcnd3, Ryr2, App, Ctnna3, Cacna1g",0.000290799
BC8,BP,GO:0021952,central nervous system projection neuron axonogenesis,"Nfib, Cdh11, Zeb2, Dcc",0.000290799
BC8,BP,GO:0061337,cardiac conduction,"Cacna2d1, Kcnd3, Ryr2, Ctnna3, Cacna1g",0.000300222
BC8,BP,GO:0050803,regulation of synapse structure or activity,"Nlgn1, Frmpd4, App, Lrfn5, Adgrl3, Ptpro, Clstn1, Lrp8",0.000307228
BC8,BP,GO:0008016,regulation of heart contraction,"Cacna2d1, Cacna2d2, Cacna1h, Kcnd3, Ryr2, Ctnna3, Cacna1g",0.000342644
BC8,BP,GO:0030048,actin filament-based movement,"Cacna2d1, Cacna1h, Kcnd3, Ryr2, Ctnna3, Cacna1g",0.000358081
BC8,BP,GO:0099560,synaptic membrane adhesion,"Lrrc4c, Nlgn1, Epha3, Lrfn5",0.00037375
BC8,BP,GO:0060048,cardiac muscle contraction,"Cacna2d1, Cacna1h, Kcnd3, Ryr2, Ctnna3, Cacna1g",0.00037375
BC8,BP,GO:0006874,cellular calcium ion homeostasis,"Cacna2d1, Slc24a3, Trpc7, Slc24a2, Ryr2, App, Cacna1g, Prkcb, Clstn1, Bok",0.000379211
BC8,BP,GO:0086091,regulation of heart rate by cardiac conduction,"Cacna2d1, Kcnd3, Ctnna3, Cacna1g",0.000468172
BC8,BP,GO:0001508,action potential,"Cacna2d1, Cacna1h, Kcnd3, Ryr2, Ctnna3, Cacna1g",0.000547245
BC8,BP,GO:1901888,regulation of cell junction assembly,"Nlgn1, Epha3, Dlc1, App, Lrfn5, Adgrl3, Clstn1",0.000559174
BC8,BP,GO:0051899,membrane depolarization,"Grik1, Cacna2d1, Cacna1h, Cacna1g, Bok",0.000564002
BC8,BP,GO:0006936,muscle contraction,"Cacna2d1, Cacna1h, Kcnd3, Ryr2, Ctnna3, Sulf1, Cacna1g, Cald1",0.000564002
BC8,BP,GO:0003012,muscle system process,"Cacna2d1, Cacna1h, Kcnd3, Ryr2, Ctnna3, Sulf1, Cacna1g, Cald1, Sorbs2",0.000686412
BC8,BP,GO:0021955,central nervous system neuron axonogenesis,"Nfib, Cdh11, Zeb2, Dcc",0.000694852
BC8,BP,GO:0060047,heart contraction,"Cacna2d1, Cacna2d2, Cacna1h, Kcnd3, Ryr2, Ctnna3, Cacna1g",0.000723629
BC8,BP,GO:0006816,calcium ion transport,"Cacna2d1, Slc24a3, Cacna2d2, Cacna1h, Trpc7, Slc24a2, Ryr2, Cacna1g, Prkcb",0.000736717
BC8,BP,GO:0003015,heart process,"Cacna2d1, Cacna2d2, Cacna1h, Kcnd3, Ryr2, Ctnna3, Cacna1g",0.000890946
BC8,BP,GO:0017157,regulation of exocytosis,"Nlgn1, Cadps2, Cacna1h, Cacna1g, Apba2, Prkcb, Stxbp5",0.000960394
BC8,BP,GO:0001967,suckling behavior,"Dach1, App, Cntfr",0.001097601
BC8,BP,GO:0006941,striated muscle contraction,"Cacna2d1, Cacna1h, Kcnd3, Ryr2, Ctnna3, Cacna1g",0.001134358
BC8,BP,GO:0045921,positive regulation of exocytosis,"Nlgn1, Cadps2, Cacna1h, Cacna1g, Stxbp5",0.001196143
BC8,BP,GO:0002027,regulation of heart rate,"Cacna2d1, Kcnd3, Ryr2, Ctnna3, Cacna1g",0.001458129
BC8,BP,GO:1903305,regulation of regulated secretory pathway,"Nlgn1, Cacna1h, Cacna1g, Apba2, Prkcb, Stxbp5",0.001575493
BC8,BP,GO:0034765,regulation of ion transmembrane transport,"Kcnip4, Cacna2d1, Nlgn1, Cacna2d2, Cacna1h, Kcnd3, Ryr2, App, Hcn3",0.001711827
BC8,BP,GO:0007416,synapse assembly,"Kirrel3, Nlgn1, App, Lrfn5, Adgrl3, Clstn1",0.001843887
BC8,BP,GO:0045055,regulated exocytosis,"Nlgn1, Cadps2, Cacna1h, Cacna1g, Apba2, Prkcb, Stxbp5",0.001972811
BC8,BP,GO:0051963,regulation of synapse assembly,"Nlgn1, App, Lrfn5, Adgrl3, Clstn1",0.002039933
BC8,BP,GO:0070588,calcium ion transmembrane transport,"Cacna2d1, Slc24a3, Cacna1h, Trpc7, Slc24a2, Ryr2, Cacna1g",0.002239777
BC8,BP,GO:0086019,cell-cell signaling involved in cardiac conduction,"Cacna2d1, Ryr2, Cacna1g",0.003607247
BC8,BP,GO:0016079,synaptic vesicle exocytosis,"Nlgn1, Cadps2, Apba2, Prkcb, Stxbp5",0.003685815
BC8,BP,GO:0086010,membrane depolarization during action potential,"Cacna2d1, Cacna1h, Cacna1g",0.005261725
BC8,BP,GO:2000300,regulation of synaptic vesicle exocytosis,"Nlgn1, Apba2, Prkcb, Stxbp5",0.006784985
BC8,BP,GO:0099003,vesicle-mediated transport in synapse,"Nlgn1, Cadps2, Apba2, Prkcb, Stxbp5, Clstn1",0.007128508
BC8,BP,GO:0021954,central nervous system neuron development,"Nfib, Cdh11, Zeb2, Dcc",0.008631647
BC8,BP,GO:0007626,locomotory behavior,"Dscam, Pcdh15, App, Lsamp, Apba2, Adgrl3",0.008631647
BC8,BP,GO:0086004,regulation of cardiac muscle cell contraction,"Cacna1h, Ryr2, Ctnna3",0.008631647
BC8,BP,GO:1905606,regulation of presynapse assembly,"Nlgn1, App, Lrfn5",0.008631647
BC8,BP,GO:0099174,regulation of presynapse organization,"Nlgn1, App, Lrfn5",0.011422684
BC8,BP,GO:0021510,spinal cord development,"Sox6, Lhx4, Dcc, Lrp8",0.011840202
BC8,BP,GO:0007269,neurotransmitter secretion,"Nlgn1, Cadps2, Apba2, Prkcb, Stxbp5",0.011840202
BC8,BP,GO:0099643,signal release from synapse,"Nlgn1, Cadps2, Apba2, Prkcb, Stxbp5",0.011840202
BC8,BP,GO:0006887,exocytosis,"Nlgn1, Cadps2, Cacna1h, Cacna1g, Apba2, Prkcb, Stxbp5",0.012658662
BC8,BP,GO:0032970,regulation of actin filament-based process,"Epha3, Dlc1, Cacna1h, Ryr2, Ctnna3, Stmn1, Jam3",0.012658662
BC8,BP,GO:0086015,SA node cell action potential,"Ryr2, Cacna1g",0.012658662
BC8,BP,GO:0086018,SA node cell to atrial cardiac muscle cell signaling,"Ryr2, Cacna1g",0.012658662
BC8,BP,GO:0086070,SA node cell to atrial cardiac muscle cell communication,"Ryr2, Cacna1g",0.012658662
BC8,BP,GO:1900119,positive regulation of execution phase of apoptosis,"Dlc1, Bok",0.012658662
BC8,BP,GO:1903115,regulation of actin filament-based movement,"Cacna1h, Ryr2, Ctnna3",0.012658662
BC8,BP,GO:0071805,potassium ion transmembrane transport,"Kcnip4, Slc24a3, Kcnd3, Slc24a2, Hcn3",0.014710677
BC8,BP,GO:0086016,AV node cell action potential,"Ryr2, Cacna1g",0.014710677
BC8,BP,GO:0086027,AV node cell to bundle of His cell signaling,"Ryr2, Cacna1g",0.014710677
BC8,BP,GO:0099173,postsynapse organization,"Nlgn1, Frmpd4, App, Lrp8, Sorbs2",0.014780923
BC8,BP,GO:0021953,central nervous system neuron differentiation,"Nfib, Lhx4, Cdh11, Zeb2, Dcc",0.015562881
BC8,BP,GO:0008038,neuron recognition,"Dscam, Epha3, App",0.015709407
BC8,BP,GO:0031346,positive regulation of cell projection organization,"Dscam, Nlgn1, Epha3, Zeb2, Tenm3, Dcc, Lrp8",0.015852097
BC8,BP,GO:0098911,regulation of ventricular cardiac muscle cell action potential,"Ryr2, Ctnna3",0.016408268
BC8,BP,GO:0099054,presynapse assembly,"Nlgn1, App, Lrfn5",0.017794719
BC8,BP,GO:0046928,regulation of neurotransmitter secretion,"Nlgn1, Apba2, Prkcb, Stxbp5",0.017794719
BC8,BP,GO:0086067,AV node cell to bundle of His cell communication,"Ryr2, Cacna1g",0.018585989
